loc,pos,op-guide,op-resp,tech-ref,desc
PCR,Producer Position,producer-position,,,Scan the QR codes to learn more.
PCR,PA Position,pa-position,pa,rdc,Rundown Creator with a 2nd display feed to multiviewers.
PCR,Director Position,director-position,,,Scan the QR codes to learn more.
PCR,Vision Mixer,vision-mixer-position,,,Sony MVS8000G vision mixer.
PCR,Engineering Position,engineer,,,Cerebrum Broadcast Control System.
PCR,Autocue Position,autocue-position,,,AutoScript WinPlus-IP with Rundown Creator integration.
PCR,Graphics/Cap-Gen Position,graphics-position,,,CasparCG with 2 channels of Fill/Key.
PCR,EVS Position,evs-position,evs,recordreplay-vt-playback-and-evs,EVS XT3 with 2x Multicam LSM remotes.
SCR,Sound Mixer,sound-mixer-position,,sound,Calrec Brio sound desk
SCR,Gram Operator/Comms Engineer,gram-operatorcomms-engineer-position,,comms,Ovation Playout System/RTS ODIN/AZ Edit configuration software
VCR,Lighting Position,lighting-position,,lighting,MA Lighting dot2 lighting desk
VCR,Vision Engineering Position,vision-engineering-position,,vision-engineering,Panasonic RCPs
